ETH Address,PRL Tokens
0xEEd361d7A1eb037f8b88598823C7DFeaf4191d6C,33340
0xF302E820f23d159757f6F0D984100D2985076b96,28672.4
0x5F19B49693f2C537226c1c75AE0F2881795E43cD,86684
0x2Ac21A1C9f2b7B4b38492d211e126C126821B4d5,68347
0x69D230542717C037Aa5090665C8477B381F0324A,7001.4
0xDfBD1faD5fe54fc27153d89972eFc55cB4a28405,71681
0xeC70D81841a1626008CFa9EC8f3E5021dB3F4DC5,25838.5
0x2fDB5DEFa2C488e97f40104e03c3E3C3afD42669,70014
0x90AaD56Da23a48591D79a9873b3bd4d9E2DDe91f,45342.4
0xB6c4AdB5bE1630F85042693526D0e01A05005C33,18337
0xbd3d8a93E337420881dC86aEe45C52c3C7B7a81b,9335.2
0x2C7Fee4B264223B95A121fae408d0fBd04dF38A3,31006.2
0xF8afbB65B6E8605266384ed8B65D60cE68B4aF29,30672.8
0x5aEDa141CeB7323825fB57F8C0faE9a0A97a1674,70014
0x04ca6F7a20C3FF624883a985f9EA4Ac7aF0379b3,26672
0x8374615f692Af0d1Eb247cfF015aa71Bc4628627,35007
0xBE662f22c7e8a840974B5a37ABD01d82F23Cb76A,39341.2
0x298fAE9446fFc867AAe2eC95C9D0A31C31573A3C,19170.5
0xe05a957F7F3358a5D2307df71CeE15c1D50922F0,70014
0x4A891cA4f7402e56Da8DB04C9aa5F0B800df1b4d,35007
0x787F1AC4DFaaB15a826Fe5Ac5f90114D9b65440f,25338.4
0xc3Aa57adA460BC23d1D645d2E026918A8eB7ea52,69347.2
0x0c9fb84d41652e9eABB5ca8544b6DC8f371b3884,27672.2
0xf7BCD2c7990E56293aF3c5B21Dc8920cB9C5B440,26338.6
0xecEb8f747c64604F04D05665000dd1480879c210,24338.2
0x158371613F9d7CDd0E117a2c90cd65AA6fF7814A,62012.4
0x2252310BA7eb1bc5646413da92931E84aBF0597E,90018
0xa1cF726619F8C16E32E89Dae354ddD47aeC59FF4,75015
0xBF996C7C57C387cEEbaF2f57c492d84A6B43Cd4B,26672
0x787F1AC4DFaaB15a826Fe5Ac5f90114D9b65440f,26005.2
0x7B2788bd6CF36224437e13901D2326b24B88c5c3,13336
0x3B3173B5cb3c1ec3ff75f6049Bd55fd8f0519ba3,46676
0xD66F85C6ebFc826d246e2Cd595940D680e1B6a50,30339.4
0x8697990141a839875DE67E8a12f7B6fC212D7321,13336
0x3EE9c5c1B471c860061f9Dc1151371368269c3F5,13336
0x314c30A54dd24A2B1cD9cA7872bbA0dF1875eEcB,52677.2
0x717ecA6E745BbD9B6D86D4a50eD6fAc8f8eB9ADd,26672
0x30179f05d9932754B0Ad0A2049710cFA22E6408B,37340.8
0x186C5AeFF98fAf07f7252bA8C531633E372e4D9F,14002.8
0x587B5e9478Ffa8B6608aE06cdefA63bb62d03e23,36674
0x238f6C5B4eEc094d2beeC4c4a3AB8c0aE820fA8a,17670.2
0x05a3F6d7ddAe8EC76Ee4AC6b1F736d906Eb29ceb,11335.6
0xDa68ae7c529Eb47C195bB8e74dE4B8fb140fD9F4,22671.2
0xb31ba48521801907D3398F83BE27bF61C32c0F30,30339.4
0x8F1254b6d731A346472eBE86B59BB2e8408956C0,31673
0x95731e1abaD57E7066CeEc848CA0910a70c6B4BA,27672.2
0x4991Ebd6856211DA9aA0cEe0B3a6f7E2b8628EDB,51343.6
0x37dc1832946543b4E3c778334bC0Ff96bb67E9ff,23338
0x608D7cf00505A3CcF5faF2656B785c5102433E8C,15336.4
0x2F0Ab0df21b0349498b651fcCF6AaD832ebc8Ae7,47676.2
0xa5bbACDa048D2f13e28D41DF80d330BF77C39926,35340.4
0x73f1754927A094015d7F8487dD6d4283dB8f4C62,9001.8
